,name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1767,abirdstory,327410.0,2014-11-07,1.0,Freebird Games,Freebird Games,windows;mac;linux,0.0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie;RPG,Indie;Story Rich;Great Soundtrack,1.0,5987.0,1147.0,257.0,476.0,200000-500000,2.79
1768,contraptionmaker,241240.0,2014-07-07,1.0,Game Dev Castle,Top Meadow,windows;mac;linux,0.0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor,Casual;Indie;Simulation,Puzzle;Physics;Indie,22.0,959.0,92.0,102.0,150.0,200000-500000,7.19
1769,drawastickmanepic,248650.0,2013-12-03,1.0,Hitcents,Hitcents,windows,0.0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Adventure;Casual;Indie,Adventure;Indie;Casual,52.0,783.0,248.0,84.0,108.0,100000-200000,2.79
1770,fairybloomfreesia,214590.0,2012-10-17,1.0,Edelweiss,Nyu Media,windows,0.0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Anime;Action;Beat 'em up,50.0,882.0,139.0,159.0,226.0,100000-200000,5.59
1772,sonicadventure2,213610.0,2012-11-19,1.0,SEGA,SEGA,windows,0.0,Single-player;Multi-player;Partial Controller Support,Action,Action;Platformer;Great Soundtrack,15.0,4676.0,913.0,805.0,1188.0,500000-1000000,5.99
1773,symphony,207750.0,2012-08-06,1.0,Empty Clip Studios,Empty Clip Studios,windows;mac;linux,0.0,Single-player;Steam Achievements,Action;Casual;Indie,Music;Indie;Action,31.0,1159.0,209.0,321.0,321.0,200000-500000,6.19
1777,izombie,307230.0,2014-12-08,1.0,Awesome Games Studio,Awesome Games Studio,windows,0.0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Indie;Strategy,Casual;Indie;Strategy,13.0,1735.0,349.0,107.0,107.0,200000-500000,1.59
1779,trine3theartifactsofpower,319910.0,2015-08-20,1.0,Frozenbyte,Frozenbyte,windows;mac;linux,0.0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Action;Adventure;Indie,Adventure;Co-op;Puzzle,28.0,3619.0,1819.0,449.0,537.0,500000-1000000,15.99
1780,freestyle2streetbasketball,339610.0,2015-04-01,1.0,Joycity,Joycity,windows,0.0,Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;Partial Controller Support,Action;Casual;Free to Play;Massively Multiplayer;Sports,Free to Play;Basketball;Sports,0.0,5781.0,2192.0,1571.0,755.0,2000000-5000000,0.0
1781,aurakingdom,268420.0,2014-07-01,1.0,X-Legend,Aeria Games,windows,0.0,MMO;Steam Trading Cards,Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Anime;Free to Play;MMORPG,0.0,5666.0,1533.0,485.0,92.0,2000000-5000000,0.0
