,name,og_name
124,amnesiathedarkdescent,Amnesia The Dark Descent
125,aquaria,Aquaria
126,arxfatalis,Arx Fatalis
127,awesomenauts,Awesomenauts
128,baldursgateiienhancededition,Baldur's Gate II Enhanced Edition
129,batmanarkhamorigins,Batman Arkham Origins
130,battleblocktheater,BattleBlock Theater
131,battlefieldbadcompany2,Battlefield Bad Company 2
132,bioshockinfinite,BioShock Infinite
133,bioshockinfiniteseasonpass,BioShock Infinite - Season Pass
134,bioshockinfiniteburialatseaepisode1,BioShock Infinite Burial at Sea - Episode 1
135,bioshockinfiniteburialatseaepisode2,BioShock Infinite Burial at Sea - Episode 2
136,borderlands,Borderlands
137,brokenage,Broken Age
138,brothersataleoftwosons,Brothers - A Tale of Two Sons
139,brtallegend,Brtal Legend
140,bulletstorm,Bulletstorm
141,callofjuarezgunslinger,Call of Juarez Gunslinger
142,castlecrashers,Castle Crashers
143,cavestory,Cave Story+
144,childoflight,Child of Light
145,chivalrymedievalwarfare,Chivalry Medieval Warfare
146,companyofheroes,Company of Heroes
147,companyofheroesnewsteamversion,Company of Heroes (New Steam Version)
148,companyofheroesopposingfronts,Company of Heroes Opposing Fronts
149,companyofheroestalesofvalor,Company of Heroes Tales of Valor
150,crusaderkingsii,Crusader Kings II
151,crysis2maximumedition,Crysis 2 Maximum Edition
152,darksoulsii,DARK SOULS II
153,darksoulsiiseasonpass,DARK SOULS II - Season Pass
154,darksoulsiicrownoftheoldironking,DARK SOULS II Crown of the Old Iron King
155,darksoulsiischolarofthefirstsin,DARK SOULS II Scholar of the First Sin
156,darksoulspreparetodieedition,Dark Souls Prepare to Die Edition
157,darkestdungeon,Darkest Dungeon
158,darksiders,Darksiders
159,darksidersii,Darksiders II
160,deadisland,Dead Island
161,deadlight,Deadlight
162,dearesther,Dear Esther
163,dishonored,Dishonored
164,divinityoriginalsin,Divinity Original Sin
165,divinityoriginalsinenhancededition,Divinity Original Sin Enhanced Edition
166,dmcdevilmaycry,DmC Devil May Cry
167,dontstarve,Don't Starve
168,dontstarvetogetherbeta,Don't Starve Together Beta
169,dragonageoriginsultimateedition,Dragon Age Origins - Ultimate Edition
170,driversanfrancisco,Driver San Francisco
171,ducktalesremastered,DuckTales Remastered
172,dungeondefenders,Dungeon Defenders
173,dungeonsofdredmor,Dungeons of Dredmor
174,dyinglight,Dying Light
175,endlesslegend,Endless Legend
176,eurotrucksimulator2,Euro Truck Simulator 2
177,fear3,F.E.A.R. 3
178,fallout,Fallout
179,fallout4,Fallout 4
180,falloutnewvegas,Fallout New Vegas
181,falloutnewvegascouriersstash,Fallout New Vegas Courier's Stash
182,falloutnewvegasdeadmoney,Fallout New Vegas Dead Money
183,falloutnewvegashonesthearts,Fallout New Vegas Honest Hearts
