,name,og_name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
160,deadisland,Dead Island,,,,,,,,,,,,,,,,,
162,dearesther,Dear Esther,,,,,,,,,,,,,,,,,
164,divinityoriginalsin,Divinity Original Sin,,,,,,,,,,,,,,,,,
167,dontstarve,Don't Starve,,,,,,,,,,,,,,,,,
168,dontstarvetogetherbeta,Don't Starve Together Beta,,,,,,,,,,,,,,,,,
170,driversanfrancisco,Driver San Francisco,,,,,,,,,,,,,,,,,
178,fallout,Fallout,,,,,,,,,,,,,,,,,
181,falloutnewvegascouriersstash,Fallout New Vegas Courier's Stash,,,,,,,,,,,,,,,,,
182,falloutnewvegasdeadmoney,Fallout New Vegas Dead Money,,,,,,,,,,,,,,,,,
183,falloutnewvegashonesthearts,Fallout New Vegas Honest Hearts,,,,,,,,,,,,,,,,,
194,hitmansniperchallenge,Hitman Sniper Challenge,,,,,,,,,,,,,,,,,
198,jazzpunk,Jazzpunk,,,,,,,,,,,,,,,,,
204,legobatman2,LEGO Batman 2,,,,,,,,,,,,,,,,,
217,markoftheninja,Mark of the Ninja,,,,,,,,,,,,,,,,,
219,metro2033,Metro 2033,,,,,,,,,,,,,,,,,
220,metrolastlight,Metro Last Light,,,,,,,,,,,,,,,,,
221,mightmagicheroesvi,Might & Magic Heroes VI,,,,,,,,,,,,,,,,,
222,monaco,Monaco,,,,,,,,,,,,,,,,,
223,monkeyisland2specialedition,Monkey Island 2 Special Edition,,,,,,,,,,,,,,,,,
227,nexuizbeta,Nexuiz Beta,,,,,,,,,,,,,,,,,
228,nexuizstupidmode,Nexuiz STUPID Mode,,,,,,,,,,,,,,,,,
239,patchtestingforchivalry,Patch testing for Chivalry,,,,,,,,,,,,,,,,,
244,prototype2radnetaccesspack,Prototype 2 RADNET Access Pack,,,,,,,,,,,,,,,,,
247,redfactionguerrillasteamedition,Red Faction Guerrilla Steam Edition,,,,,,,,,,,,,,,,,
260,serioussamhdthesecondencounter,Serious Sam HD The Second Encounter,,,,,,,,,,,,,,,,,
262,shadowrundragonfall,Shadowrun Dragonfall,,,,,,,,,,,,,,,,,
264,shadowrunhongkong,Shadowrun Hong Kong,,,,,,,,,,,,,,,,,
268,sidmeierscivilizationvbravenewworld,Sid Meier's Civilization V Brave New World,,,,,,,,,,,,,,,,,
270,sleepingdogs,Sleeping Dogs,,,,,,,,,,,,,,,,,
271,sonicallstarsracingtransformed,Sonic & All-Stars Racing Transformed,,,,,,,,,,,,,,,,,
272,sonicgenerations,Sonic Generations,,,,,,,,,,,,,,,,,
278,starboundunstable,Starbound - Unstable,,,,,,,,,,,,,,,,,
279,stateofdecay,State of Decay,,,,,,,,,,,,,,,,,
285,thebannersagamodcontent,The Banner Saga - Mod Content,,,,,,,,,,,,,,,,,
290,thelordoftheringswarinthenorth,The Lord of the Rings War in the North,,,,,,,,,,,,,,,,,
295,thewalkingdeadseasontwo,The Walking Dead Season Two,,,,,,,,,,,,,,,,,
298,thewitcher3wildhuntnewfinisheranimations,The Witcher 3 Wild Hunt - New Finisher Animations,,,,,,,,,,,,,,,,,
306,transformersfallofcybertron,Transformers Fall of Cybertron,,,,,,,,,,,,,,,,,
308,trine2,Trine 2,,,,,,,,,,,,,,,,,
311,visceracleanupdetailshadowwarrior,Viscera Cleanup Detail Shadow Warrior,,,,,,,,,,,,,,,,,
315,warhammerendtimesvermintidesigmarsblessing,Warhammer End Times - Vermintide Sigmar's Blessing,,,,,,,,,,,,,,,,,
317,wasteland2,Wasteland 2,,,,,,,,,,,,,,,,,
320,xcomenemywithin,XCOM Enemy Within,,,,,,,,,,,,,,,,,
323,fallenearth,Fallen Earth,,,,,,,,,,,,,,,,,
324,magickawizardwars,Magicka Wizard Wars,,,,,,,,,,,,,,,,,
327,ragnarokonline2,Ragnarok Online 2,,,,,,,,,,,,,,,,,
329,riseofincarnates,Rise of Incarnates,,,,,,,,,,,,,,,,,
330,themightyquestforepicloot,The Mighty Quest For Epic Loot,,,,,,,,,,,,,,,,,
332,thehunter,theHunter,,,,,,,,,,,,,,,,,
334,callofdutyblackopsiimultiplayer,Call of Duty Black Ops II - Multiplayer,,,,,,,,,,,,,,,,,
335,callofdutyblackopsiizombies,Call of Duty Black Ops II - Zombies,,,,,,,,,,,,,,,,,
336,darkesthoureurope4445,Darkest Hour Europe '44-'45,,,,,,,,,,,,,,,,,
338,marenostrum,Mare Nostrum,,,,,,,,,,,,,,,,,
342,battlefield2,Battlefield 2,,,,,,,,,,,,,,,,,
343,bioshock,BioShock,,,,,,,,,,,,,,,,,
344,bioshock2,BioShock 2,,,,,,,,,,,,,,,,,
345,borderlandsdlcclaptrapsnewrobotrevolution,Borderlands DLC Claptraps New Robot Revolution,,,,,,,,,,,,,,,,,
346,borderlandsdlcmadmoxxisunderdomeriot,Borderlands DLC Mad Moxxi's Underdome Riot,,,,,,,,,,,,,,,,,
347,borderlandsdlcthesecretarmoryofgeneralknoxx,Borderlands DLC The Secret Armory of General Knoxx,,,,,,,,,,,,,,,,,
348,borderlandsdlcthezombieislandofdrned,Borderlands DLC The Zombie Island of Dr. Ned,,,,,,,,,,,,,,,,,
350,callofdutyadvancedwarfare,Call of Duty Advanced Warfare,,,,,,,,,,,,,,,,,
351,callofdutyadvancedwarfaremultiplayer,Call of Duty Advanced Warfare - Multiplayer,,,,,,,,,,,,,,,,,
353,callofdutyghostsmultiplayer,Call of Duty Ghosts - Multiplayer,,,,,,,,,,,,,,,,,
354,darkmessiahofmightmagicmultiplayer,Dark Messiah of Might & Magic Multi-Player,,,,,,,,,,,,,,,,,
355,darkmessiahofmightmagicsingleplayer,Dark Messiah of Might & Magic Single Player,,,,,,,,,,,,,,,,,
359,eufloria,Eufloria,,,,,,,,,,,,,,,,,
361,eufloriahdoriginalsoundtrack,Eufloria HD Original Soundtrack,,,,,,,,,,,,,,,,,
363,freedomforcevsthe3rdreich,Freedom Force vs. the 3rd Reich,,,,,,,,,,,,,,,,,
370,killingfloormoddefencealliance2,Killing Floor Mod Defence Alliance 2,,,,,,,,,,,,,,,,,
375,medalofhonorpreorder,Medal of Honor Pre-Order,,,,,,,,,,,,,,,,,
376,medalofhonortmmultiplayer,Medal of Honor(TM) Multiplayer,,,,,,,,,,,,,,,,,
377,medalofhonortmsingleplayer,Medal of Honor(TM) Single Player,,,,,,,,,,,,,,,,,
380,pcgamer,PC Gamer,,,,,,,,,,,,,,,,,
381,painkillerblackedition,Painkiller Black Edition,,,,,,,,,,,,,,,,,
385,railroadtycoon2platinum,Railroad Tycoon 2 Platinum,,,,,,,,,,,,,,,,,
388,shatteredhorizon,Shattered Horizon,,,,,,,,,,,,,,,,,
391,sidmeierscivilizationivbeyondthesword,Sid Meier's Civilization IV Beyond the Sword,,,,,,,,,,,,,,,,,
393,sidmeierscivilizationivwarlords,Sid Meier's Civilization IV Warlords,,,,,,,,,,,,,,,,,
396,sniperelitev2,Sniper Elite V2,,,,,,,,,,,,,,,,,
398,stronghold2,Stronghold 2,,,,,,,,,,,,,,,,,
399,strongholdcrusaderextremehd,Stronghold Crusader Extreme HD,,,,,,,,,,,,,,,,,
402,strongholdlegends,Stronghold Legends,,,,,,,,,,,,,,,,,
403,synergy,Synergy,,,,,,,,,,,,,,,,,
406,unrealiitheawakening,Unreal II The Awakening,,,,,,,,,,,,,,,,,
407,unrealtournament2004,Unreal Tournament 2004,,,,,,,,,,,,,,,,,
408,unrealtournament3blackedition,Unreal Tournament 3 Black Edition,,,,,,,,,,,,,,,,,
415,zombiedriver,Zombie Driver,,,,,,,,,,,,,,,,,
418,footballmanager2009,Football Manager 2009,,,,,,,,,,,,,,,,,
419,batmanarkhamasylumgotyedition,Batman Arkham Asylum GOTY Edition,,,,,,,,,,,,,,,,,
420,batmanarkhamcitygoty,Batman Arkham City GOTY,,,,,,,,,,,,,,,,,
423,ares,A.R.E.S.,,,,,,,,,,,,,,,,,
425,ageofchivalry,Age of Chivalry,,,,,,,,,,,,,,,,,
433,assassinscreedii,Assassin's Creed II,,,,,,,,,,,,,,,,,
434,assassinscreediii,Assassin's Creed III,,,,,,,,,,,,,,,,,
440,batmanarkhamcity,Batman Arkham City,,,,,,,,,,,,,,,,,
442,bentheredanthat,"Ben There, Dan That!",,,,,,,,,,,,,,,,,
443,blocksthatmatter,Blocks That Matter,,,,,,,,,,,,,,,,,
449,cogs,Cogs,,,,,,,,,,,,,,,,,
450,commandandconquerredalert3uprising,Command and Conquer Red Alert 3 - Uprising,,,,,,,,,,,,,,,,,
456,crysiswars,Crysis Wars,,,,,,,,,,,,,,,,,
458,doomiihellonearth,DOOM II Hell on Earth,,,,,,,,,,,,,,,,,
460,deadlightoriginalsoundtrack,Deadlight Original Soundtrack,,,,,,,,,,,,,,,,,
463,defensegrid2,Defense Grid 2,,,,,,,,,,,,,,,,,
464,defensegridresurgencemappack1,Defense Grid Resurgence Map Pack 1,,,,,,,,,,,,,,,,,
465,defensegridresurgencemappack2,Defense Grid Resurgence Map Pack 2 ,,,,,,,,,,,,,,,,,
466,defensegridresurgencemappack3,Defense Grid Resurgence Map Pack 3,,,,,,,,,,,,,,,,,
467,defensegridresurgencemappack4,Defense Grid Resurgence Map Pack 4,,,,,,,,,,,,,,,,,
472,dungeonland,Dungeonland,,,,,,,,,,,,,,,,,
473,dungeonlandallaccesspass,Dungeonland - All access pass,,,,,,,,,,,,,,,,,
478,empiretotalwar,Empire Total War,,,,,,,,,,,,,,,,,
479,europauniversalisiii,Europa Universalis III,,,,,,,,,,,,,,,,,
482,farcry2,Far Cry 2,,,,,,,,,,,,,,,,,
483,farcry2fortunespack,Far Cry 2 Fortunes Pack,,,,,,,,,,,,,,,,,
489,galconfusion,Galcon Fusion,,,,,,,,,,,,,,,,,
500,hardreset,Hard Reset,,,,,,,,,,,,,,,,,
501,hardresetexiledlc,Hard Reset Exile DLC,,,,,,,,,,,,,,,,,
505,irongripwarlord,Iron Grip Warlord,,,,,,,,,,,,,,,,,
509,leviathanwarships,Leviathan Warships,,,,,,,,,,,,,,,,,
511,magickanippon,Magicka Nippon,,,,,,,,,,,,,,,,,
512,magickavietnam,Magicka Vietnam,,,,,,,,,,,,,,,,,
513,magickawizardssurvivalkit,Magicka Wizard's Survival Kit,,,,,,,,,,,,,,,,,
516,medievaliitotalwar,Medieval II Total War,,,,,,,,,,,,,,,,,
518,midnightclubii,Midnight Club II,,,,,,,,,,,,,,,,,
522,napoleontotalwar,Napoleon Total War,,,,,,,,,,,,,,,,,
526,ontherainslickprecipiceofdarknessepisodeone,"On the Rain-Slick Precipice of Darkness, Episode One",,,,,,,,,,,,,,,,,
527,ontherainslickprecipiceofdarknessepisodetwo,"On the Rain-Slick Precipice of Darkness, Episode Two",,,,,,,,,,,,,,,,,
533,portalstoriesmel,Portal Stories Mel,,,,,,,,,,,,,,,,,
538,psychonautsdemo,Psychonauts Demo,,,,,,,,,,,,,,,,,
541,redorchestra2heroesofstalingradsingleplayer,Red Orchestra 2 Heroes of Stalingrad - Single Player,,,,,,,,,,,,,,,,,
545,risingstormredorchestra2multiplayer,Rising Storm/Red Orchestra 2 Multiplayer,,,,,,,,,,,,,,,,,
547,rochard,Rochard,,,,,,,,,,,,,,,,,
549,rometotalwar,Rome Total War,,,,,,,,,,,,,,,,,
553,saira,Saira,,,,,,,,,,,,,,,,,
559,simcity4deluxe,SimCity 4 Deluxe,,,,,,,,,,,,,,,,,
560,sinemora,Sine Mora,,,,,,,,,,,,,,,,,
570,supermeatboy,Super Meat Boy,,,,,,,,,,,,,,,,,
571,supermondaynightcombat,Super Monday Night Combat,,,,,,,,,,,,,,,,,
582,theincredibleadventuresofvanhelsingthaumaturge,The Incredible Adventures of Van Helsing Thaumaturge,,,,,,,,,,,,,,,,,
584,theship,The Ship,,,,,,,,,,,,,,,,,
585,theshipsingleplayer,The Ship Single Player,,,,,,,,,,,,,,,,,
586,theshiptutorial,The Ship Tutorial,,,,,,,,,,,,,,,,,
587,theshowdowneffect,The Showdown Effect,,,,,,,,,,,,,,,,,
590,timegentlemenplease,"Time Gentlemen, Please!",,,,,,,,,,,,,,,,,
591,titanquest,Titan Quest,,,,,,,,,,,,,,,,,
592,titanquestimmortalthrone,Titan Quest Immortal Throne,,,,,,,,,,,,,,,,,
593,totalwarshogun2,Total War SHOGUN 2,,,,,,,,,,,,,,,,,
595,trine,Trine,,,,,,,,,,,,,,,,,
596,tropico3steamspecialedition,Tropico 3 - Steam Special Edition,,,,,,,,,,,,,,,,,
602,waroftheroses,War of the Roses,,,,,,,,,,,,,,,,,
603,waroftherosesbalancebeta,War of the Roses Balance Beta,,,,,,,,,,,,,,,,,
604,waroftheroseskingmaker,War of the Roses Kingmaker,,,,,,,,,,,,,,,,,
607,warlockmasterofthearcanepowerfullords,Warlock - Master of the Arcane Powerful Lords,,,,,,,,,,,,,,,,,
617,dizzel,Dizzel,,,,,,,,,,,,,,,,,
619,loadout,Loadout,,,,,,,,,,,,,,,,,
623,warincbattlezone,War Inc. Battlezone,,,,,,,,,,,,,,,,,
630,brokensword1shadowofthetemplarsdirectorscut,Broken Sword 1 - Shadow of the Templars Director's Cut,,,,,,,,,,,,,,,,,
639,guardiansofmiddleearth,Guardians of Middle-earth,,,,,,,,,,,,,,,,,
648,magic2014,Magic 2014 ,,,,,,,,,,,,,,,,,
649,magic2015,Magic 2015,,,,,,,,,,,,,,,,,
657,mortalkombatkollection,Mortal Kombat Kollection,,,,,,,,,,,,,,,,,
658,mortalkombatkompleteedition,Mortal Kombat Komplete Edition,,,,,,,,,,,,,,,,,
