,name,og_name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1844,reversiontheescape,Reversion - The Escape,,,,,,,,,,,,,,,,,
1845,district187,District 187,,,,,,,,,,,,,,,,,
1857,septerracore,Septerra Core,,,,,,,,,,,,,,,,,
1861,defygravity,Defy Gravity,,,,,,,,,,,,,,,,,
1866,stccii,STCC II,,,,,,,,,,,,,,,,,
1869,theretroexpansion,The Retro Expansion,,,,,,,,,,,,,,,,,
1870,thewtcc2010pack,The WTCC 2010 Pack,,,,,,,,,,,,,,,,,
1871,tomeimmortalarena,TOME Immortal Arena,,,,,,,,,,,,,,,,,
1872,brilliantbob,Brilliant Bob,,,,,,,,,,,,,,,,,
1875,eldritch,Eldritch,,,,,,,,,,,,,,,,,
1883,tempertantrum,Temper Tantrum,,,,,,,,,,,,,,,,,
1885,modularcombat,Modular Combat,,,,,,,,,,,,,,,,,
1887,goldenrush,Golden Rush,,,,,,,,,,,,,,,,,
1890,hotlinemiami2wrongnumberdigitalcomic,Hotline Miami 2 Wrong Number Digital Comic,,,,,,,,,,,,,,,,,
1891,deadrising3,Dead Rising 3,,,,,,,,,,,,,,,,,
1892,deadrising3dlc1,Dead Rising 3 DLC1,,,,,,,,,,,,,,,,,
1893,deadrising3dlc2,Dead Rising 3 DLC2,,,,,,,,,,,,,,,,,
1894,deadrising3dlc3,Dead Rising 3 DLC3,,,,,,,,,,,,,,,,,
1895,deadrising3dlc4,Dead Rising 3 DLC4,,,,,,,,,,,,,,,,,
1910,goocubelets,GooCubelets,,,,,,,,,,,,,,,,,
1913,dragomonhunter,Dragomon Hunter,,,,,,,,,,,,,,,,,
1915,fiestaonlinena,Fiesta Online NA,,,,,,,,,,,,,,,,,
1916,grandchase,Grand Chase,,,,,,,,,,,,,,,,,
1917,lostsaganorthamerica,Lost Saga North America,,,,,,,,,,,,,,,,,
1918,mabinogi,Mabinogi,,,,,,,,,,,,,,,,,
1919,microvoltssurge,MicroVolts Surge,,,,,,,,,,,,,,,,,
1920,raiderz,RaiderZ,,,,,,,,,,,,,,,,,
1921,smashmuckchampions,Smashmuck Champions,,,,,,,,,,,,,,,,,
1923,unchartedwatersonlinegranatlas,Uncharted Waters Online Gran Atlas,,,,,,,,,,,,,,,,,
1925,medievaltotalwargoldedition,MEDIEVAL Total War - Gold Edition,,,,,,,,,,,,,,,,,
1926,dragonnesteurope,Dragon Nest Europe,,,,,,,,,,,,,,,,,
1928,scribblenautsunmasked,Scribblenauts Unmasked,,,,,,,,,,,,,,,,,
1929,gearcrackarena,GEARCRACK Arena,,,,,,,,,,,,,,,,,
1930,saviors,Saviors,,,,,,,,,,,,,,,,,
1931,whysoevil,Why So Evil,,,,,,,,,,,,,,,,,
1932,crusaderkingsiihymnsofabraham,Crusader Kings II Hymns of Abraham,,,,,,,,,,,,,,,,,
1933,nba2k9,NBA 2K9,,,,,,,,,,,,,,,,,
1934,dynastywarriors8xtremelegendscompleteedition,DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,,,,,,,,,,,,,,,,,
1935,teenagemutantninjaturtlesoutoftheshadows,Teenage Mutant Ninja Turtles Out of the Shadows,,,,,,,,,,,,,,,,,
1936,quantumrushonline,Quantum Rush Online,,,,,,,,,,,,,,,,,
1937,rustyhearts,Rusty Hearts,,,,,,,,,,,,,,,,,
1943,paydaythewebseriesepisode1,PAYDAY The Web Series - Episode 1,,,,,,,,,,,,,,,,,
1945,unturnedpermanentgoldupgrade,Unturned - Permanent Gold Upgrade,,,,,,,,,,,,,,,,,
1946,ageofempiresonline,Age of Empires Online,,,,,,,,,,,,,,,,,
1947,annoonline,Anno Online,,,,,,,,,,,,,,,,,
1948,crimecraftgangwars,CrimeCraft GangWars,,,,,,,,,,,,,,,,,
1949,lambdawarsbeta,Lambda Wars Beta,,,,,,,,,,,,,,,,,
1950,disneyinfinity30playwithoutlimits,Disney Infinity 3.0 Play Without Limits,,,,,,,,,,,,,,,,,
1954,shadowwarriorclassic1997,Shadow Warrior Classic (1997),,,,,,,,,,,,,,,,,
1955,thefishfillets2,The Fish Fillets 2,,,,,,,,,,,,,,,,,
1956,dragonspropheteu,Dragon's Prophet (EU),,,,,,,,,,,,,,,,,
1957,forsakenworld,Forsaken World ,,,,,,,,,,,,,,,,,
1958,metalreaperonline,Metal Reaper Online,,,,,,,,,,,,,,,,,
1959,lifelessplanet,Lifeless Planet,,,,,,,,,,,,,,,,,
1963,callofjuarezthecartel,Call of Juarez The Cartel,,,,,,,,,,,,,,,,,
1969,galcon2,Galcon 2,,,,,,,,,,,,,,,,,
1972,spookyshouseofjumpscares,Spooky's House of Jump Scares,,,,,,,,,,,,,,,,,
1978,piratesvikingsknightsii,"Pirates, Vikings, & Knights II",,,,,,,,,,,,,,,,,
1981,ragnarok,Ragnarok,,,,,,,,,,,,,,,,,
1982,moonbreakers,Moon Breakers,,,,,,,,,,,,,,,,,
1986,frontlinetactics,Frontline Tactics,,,,,,,,,,,,,,,,,
1991,poolnationfx,Pool Nation FX,,,,,,,,,,,,,,,,,
1993,dontstarveshipwrecked,Don't Starve Shipwrecked,,,,,,,,,,,,,,,,,
1995,riseofvenice,Rise of Venice,,,,,,,,,,,,,,,,,
1998,amazingworld,Amazing World,,,,,,,,,,,,,,,,,
2000,arcanesagaonline,Arcane Saga Online,,,,,,,,,,,,,,,,,
2002,battlebattalions,Battle Battalions,,,,,,,,,,,,,,,,,
2004,blackfire,Black Fire,,,,,,,,,,,,,,,,,
2005,brawlbusters,Brawl Busters,,,,,,,,,,,,,,,,,
2006,bulletrun,Bullet Run,,,,,,,,,,,,,,,,,
2008,cityofsteamarkadia,City of Steam Arkadia,,,,,,,,,,,,,,,,,
2015,dogsofwaronlinebeta,Dogs of War Online - Beta,,,,,,,,,,,,,,,,,
2019,esenthelengine,Esenthel Engine,,,,,,,,,,,,,,,,,
2020,eternalfate,Eternal Fate,,,,,,,,,,,,,,,,,
2022,fiestaonline,Fiesta Online,,,,,,,,,,,,,,,,,
2023,footballsuperstars,Football Superstars,,,,,,,,,,,,,,,,,
2025,gladiatorsonlinedeathbeforedishonor,Gladiators Online Death Before Dishonor,,,,,,,,,,,,,,,,,
2029,homefrontdemo,HOMEFRONT Demo,,,,,,,,,,,,,,,,,
2034,magicthegatheringtactics,Magic The Gathering  Tactics,,,,,,,,,,,,,,,,,
2038,mylands,My Lands,,,,,,,,,,,,,,,,,
2040,pandorasagaweaponsofbalance,Pandora Saga Weapons of Balance,,,,,,,,,,,,,,,,,
2042,roseonline,ROSE Online,,,,,,,,,,,,,,,,,
2044,runningshadow,Running Shadow,,,,,,,,,,,,,,,,,
2046,saintsrowivinaugurationstation,Saints Row IV Inauguration Station,,,,,,,,,,,,,,,,,
2049,soldierfront2,Soldier Front 2,,,,,,,,,,,,,,,,,
2052,talesrunner,Tales Runner,,,,,,,,,,,,,,,,,
2056,warside,Warside,,,,,,,,,,,,,,,,,
2057,worldofbattles,World of Battles,,,,,,,,,,,,,,,,,
2064,lillyandsashacurseoftheimmortals,Lilly and Sasha Curse of the Immortals,,,,,,,,,,,,,,,,,
2068,combatarms,Combat Arms,,,,,,,,,,,,,,,,,
2070,breakintozatwor,Break Into Zatwor,,,,,,,,,,,,,,,,,
2071,whysoevil2dystopia,Why So Evil 2 Dystopia,,,,,,,,,,,,,,,,,
2077,greyfox,Greyfox,,,,,,,,,,,,,,,,,
2089,solsticearena,Solstice Arena,,,,,,,,,,,,,,,,,
2094,piercingblow,Piercing Blow,,,,,,,,,,,,,,,,,
