zpid,street,zipcode,city,state,latitude,longitude,FIPScounty,taxAssessmentYear,taxAssessment,yearBuilt,finishedSqFt,bathrooms,bedrooms,zestimate_amount,last-updated,oneWeekChange,valueChange,valuationRange_low,valuationRange_high,localRealEstate_zindexValue,overview,forSaleByOwner,forSale
121656781,3716 Vinalopo Dr,78738,Austin,TX,30.318793,-97.961886,48453,2018,517796.0,2014,2581,3.0,4,617202,11/13/2019,,5090,561654,678922,"526,000",http://www.zillow.com/local-info/TX-Bee-Cave/r_16948/,http://www.zillow.com/bee-cave-tx/fsbo/,http://www.zillow.com/bee-cave-tx/
,,,,,,,,,,,,,,,,,,,,,,,
89551268,1411 Luna St,78721,Austin,TX,30.281127,-97.691119,48453,2018,427175.0,2008,1443,2.0,3,447355,11/13/2019,,2086,411567,487617,"294,400",http://www.zillow.com/local-info/TX-Austin/MLK/r_271474/,http://www.zillow.com/mlk-austin-tx/fsbo/,http://www.zillow.com/mlk-austin-tx/
29577487,16104 Braesgate Dr,78717,Austin,TX,30.500542,-97.746485,48491,2019,429181.0,1999,3576,4.0,6,457119,11/13/2019,,3438,420549,498260,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
,,,,,,,,,,,,,,,,,,,,,,,
119628747,2701 Currant Cv,78748,Austin,TX,30.150152,-97.857389,48453,2018,133163.0,2017,1575,2.0,3,320096,11/13/2019,,-2457,300890,352106,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
29509495,1629 Cattle Trl,78748,Austin,TX,30.179607,-97.815999,48453,2018,242971.0,1986,1331,2.0,,271607,11/13/2019,,-6920,255311,287903,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
29427234,8101 Ceberry Dr,78759,Austin,TX,30.365988,-97.746418,48453,2018,432789.0,1970,1485,1.75,3,452011,11/13/2019,,8218,420370,492692,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
,,,,,,,,,,,,,,,,,,,,,,,
64642339,11504 Turtle Ln,78726,Austin,TX,30.445901,-97.825241,48453,2018,3550.0,2003,1,,,403369,11/13/2019,,1403,363032,447740,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
29505719,8207 Belclaire Ln,78748,Austin,TX,30.179966,-97.792605,48453,2018,260256.0,1977,1434,2.0,,293903,11/13/2019,,2411,267452,326232,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
29415677,9200 Wellesley Dr,78754,Austin,TX,30.333744,-97.648887,48453,2018,194018.0,1996,1334,1.5,,216494,11/13/2019,,3311,205669,227319,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
,,,,,,,,,,,,,,,,,,,,,,,
145656118,7909 Whistling Arrow Ln,78744,Austin,TX,30.175092,-97.698395,48453,2018,329336.0,2016,2095,2.0,3,359191,11/13/2019,,-4998,330456,377151,"321,600",http://www.zillow.com/local-info/TX-Austin/r_10221/,http://www.zillow.com/austin-tx/fsbo/,http://www.zillow.com/austin-tx/
,,,,,,,,,,,,,,,,,,,,,,,
144191181,705 Cutlass,78734,Lakeway,TX,30.372331,-97.998823,48453,2018,534600.0,2018,4267,,5,,01/01/1970,,,,,,http://www.zillow.com/local-info/TX-Lakeway/r_46137/,http://www.zillow.com/lakeway-tx/fsbo/,http://www.zillow.com/lakeway-tx/
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
