zpid,street,zipcode,city,state,latitude,longitude,FIPScounty,propertyType,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,lastSoldDate,lastSoldPrice,zestimatePrice
25521127,45 Carriage Dr,92602,Irvine,CA,33.741132,-117.772675,6059,SingleFamily,1998,3555,2246,2.5,3,07/31/2001,438000,946549
25521264,41 Winterfield Rd,92602,Irvine,CA,33.740861,-117.769498,6059,SingleFamily,1999,3465,1651,3.0,3,09/17/1999,283500,794796
,,,,,,,,,,,,,,,,
25521270,29 Winterfield Rd,92602,Irvine,CA,33.740206,-117.77,6059,SingleFamily,1998,3278,2015,2.5,4,03/30/1999,306500,921634
25521317,9 Windarbor Ln,92602,Irvine,CA,33.740228,-117.769043,6059,SingleFamily,1999,3737,2015,2.5,4,10/01/1999,345000,952006
45649318,65 Briar Ln,92602,Irvine,CA,33.739338,-117.771488,6059,SingleFamily,1999,4379,2900,2.5,5,10/05/2009,775000,1186991
51631978,36 Millgrove,92602,Irvine,CA,33.745689,-117.767272,6059,SingleFamily,2000,6765,2267,2.5,4,11/27/2007,810000,1049443
51631860,41 Millgrove,92602,Irvine,CA,33.74562,-117.767994,6059,SingleFamily,2000,4442,2267,2.5,4,11/15/2000,368500,958061
51631982,28 Amberhill,92602,Irvine,CA,33.745624,-117.76659,6059,SingleFamily,2000,5176,3176,2.5,4,09/01/2005,1035000,1271533
51675093,51 Bradford,92602,Irvine,CA,33.744849,-117.768709,6059,Condominium,2000,,1301,2.0,2,08/14/2008,420000,588817
51631974,28 Hillsdale,92602,Irvine,CA,33.744898,-117.766956,6059,SingleFamily,2000,5778,2267,2.5,4,01/26/2001,399000,979507
51631990,12 Amberhill,92602,Irvine,CA,33.744573,-117.766587,6059,SingleFamily,2000,6989,2800,2.5,5,06/30/1994,208000,1195038
54979310,27 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,2000,,1280,2.0,2,04/06/2006,550000,617785
51631930,38 Langford,92602,Irvine,CA,33.743415,-117.768304,6059,SingleFamily,2000,5401,2809,2.5,4,10/09/2002,557000,1192171
51631938,11 Appleton,92602,Irvine,CA,33.743384,-117.767568,6059,SingleFamily,1999,5948,2950,3.0,4,01/25/2000,419000,1209935
51631921,39 Kentworth,92602,Irvine,CA,33.743248,-117.768064,6059,SingleFamily,2000,4965,2691,2.5,4,07/31/2000,395000,1128051
51174856,34 Kentworth,92602,Irvine,CA,33.742778,-117.767905,6059,SingleFamily,2000,4500,2679,2.5,4,08/10/2000,412500,1126977
25521196,51 Linhaven,92602,Irvine,CA,33.742689,-117.770897,6059,SingleFamily,1999,3465,2121,2.5,4,10/13/1999,321000,940479
25521250,40 Linhaven,92602,Irvine,CA,33.742373,-117.76978,6059,SingleFamily,1999,4163,2500,2.5,4,06/28/2001,419000,988958
51631909,6 Easthaven,92602,Irvine,CA,33.741969,-117.767932,6059,SingleFamily,2000,4563,2267,2.5,4,08/07/2000,370500,982426
25521147,3 Carriage Dr,92602,Irvine,CA,33.741926,-117.771326,6059,SingleFamily,1999,4611,2478,2.5,4,07/07/2006,868000,1046644
25521246,32 Brookhollow,92602,Irvine,CA,33.74187,-117.769841,6059,SingleFamily,1999,3690,2236,2.5,4,04/01/2015,830000,958525
,,,,,,,,,,,,,,,,
25521242,24 Brookhollow,92602,Irvine,CA,33.7415,-117.770242,6059,SingleFamily,1999,3060,1892,2.5,3,03/20/2002,434500,835067
,,,,,,,,,,,,,,,,
25521097,23 Elizabeth Ln,92602,Irvine,CA,33.740903,-117.773708,6059,SingleFamily,1998,4419,3105,3.0,4,03/29/1999,363500,1218546
25521223,5 Brookhollow,92602,Irvine,CA,33.740931,-117.771291,6059,SingleFamily,1999,2948,1656,2.5,3,03/27/2003,458000,795320
25521224,3 Brookhollow,92602,Irvine,CA,33.740827,-117.771398,6059,SingleFamily,1999,3705,2015,2.5,4,08/31/1999,330500,941978
25521110,24 Elizabeth Ln,92602,Irvine,CA,33.740532,-117.773482,6059,SingleFamily,1998,5685,3105,4.0,4,03/30/1999,406500,1399253
25521428,89 Briar Ln,92602,Irvine,CA,33.740505,-117.771644,6059,SingleFamily,1999,4948,2569,2.5,4,01/11/2016,863000,1001763
25521267,35 Winterfield Rd,92602,Irvine,CA,33.740558,-117.769795,6059,SingleFamily,1999,4394,1651,2.5,3,09/17/1999,297500,825080
25521408,7 Cameo Ct,92602,Irvine,CA,33.739253,-117.770134,6059,SingleFamily,1999,4356,2015,2.5,4,08/09/2016,838000,913292
51675096,57 Bradford,92602,Irvine,CA,33.744804,-117.768644,6059,Condominium,1999,,1640,2.5,3,11/16/1999,269000,741348
51631985,22 Amberhill,92602,Irvine,CA,33.745306,-117.766351,6059,SingleFamily,2001,5662,2300,2.5,4,04/02/2009,715000,1009663
51674361,95 Ardmore,92602,Irvine,CA,33.743865,-117.770325,6059,Condominium,2000,,1638,3.0,3,01/23/2013,518000,729728
51675072,71 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,1999,,1640,2.5,3,02/29/2000,258500,741058
51631995,11 Kirkland,92602,Irvine,CA,33.74405,-117.767309,6059,SingleFamily,2000,4314,2267,2.5,4,03/03/2017,960000,1047383
51631934,21 Appleton,92602,Irvine,CA,33.743744,-117.768085,6059,SingleFamily,1999,5039,2691,2.5,4,03/02/2018,1110000,1138603
54979337,2 Ardmore,92602,Irvine,CA,33.743804,-117.770131,6059,Condominium,2000,1001,1277,2.0,2,12/16/2015,490000,575554
25521165,60 Linhaven,92602,Irvine,CA,33.743174,-117.770941,6059,SingleFamily,1999,4269,2236,3.0,4,08/16/2001,440000,951194
51631900,24 Easthaven,92602,Irvine,CA,33.742771,-117.769059,6059,SingleFamily,2000,4094,2698,2.0,4,05/28/2015,880000,1101392
25521204,81 Linhaven,92602,Irvine,CA,33.742588,-117.771193,6059,SingleFamily,1999,4999,2478,2.5,4,02/25/2013,808000,986851
,,,,,,,,,,,,,,,,
25521251,42 Linhaven,92602,Irvine,CA,33.742453,-117.769913,6059,SingleFamily,1999,3465,2121,2.5,4,12/06/1999,314000,940728
25521231,41 Linhaven,92602,Irvine,CA,33.742299,-117.770322,6059,SingleFamily,1999,3465,2121,2.5,4,11/10/1999,383500,945200
25521200,89 Linhaven,92602,Irvine,CA,33.742268,-117.770724,6059,SingleFamily,1999,4259,2246,2.5,3,08/17/1999,362000,965691
,,,,,,,,,,,,,,,,
25521179,24 Carriage Dr,92602,Irvine,CA,33.741927,-117.772198,6059,SingleFamily,1998,3900,2480,3.0,4,05/12/1999,334500,986886
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25521217,19 Brookhollow,92602,Irvine,CA,33.7415,-117.770724,6059,SingleFamily,1999,3015,1892,2.5,3,08/26/1999,307500,839089
25521128,43 Carriage Dr,92602,Irvine,CA,33.741211,-117.772789,6059,SingleFamily,1998,3555,2246,2.5,3,12/12/2006,740000,967696
,,,,,,,,,,,,,,,,
25521222,7 Brookhollow,92602,Irvine,CA,33.741025,-117.771198,6059,SingleFamily,1999,3015,1876,2.5,4,08/19/1999,301000,838089
25521096,25 Elizabeth Ln,92602,Irvine,CA,33.740794,-117.773813,6059,SingleFamily,1999,4599,3105,3.0,5,06/12/2018,1062500,1073668
25521311,10 Hollyhock Dr,92602,Irvine,CA,33.740654,-117.769012,6059,SingleFamily,1999,2657,1656,2.5,3,03/27/2015,719000,820866
51631862,45 Millgrove,92602,Irvine,CA,33.7458,-117.768246,6059,SingleFamily,2000,4325,2433,3.0,4,12/20/2002,540000,989197
,,,,,,,,,,,,,,,,
51631984,24 Amberhill,92602,Irvine,CA,33.745442,-117.766295,6059,SingleFamily,2000,4590,2691,2.5,4,12/14/2000,445000,1101067
,,,,,,,,,,,,,,,,
54979274,39 Ardmore,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,1999,,1277,2.0,2,04/28/2000,208000,583092
54979285,15 Ardmore,92602,Irvine,CA,33.745019,-117.769167,6059,Condominium,1999,,1277,2.0,2,06/09/2000,209000,582961
51631943,6 Kirkland,92602,Irvine,CA,33.743455,-117.767193,6059,SingleFamily,2000,5575,2640,2.5,4,07/31/2015,999888,1156839
54979330,10 Ardmore,92602,Irvine,CA,33.744914,-117.768847,6059,Condominium,2000,,1640,3.0,3,02/26/2010,500000,731858
51631940,7 Appleton,92602,Irvine,CA,33.743175,-117.767267,6059,SingleFamily,1999,5959,2441,2.5,4,01/27/2000,378500,1108149
51631925,31 Kentworth,92602,Irvine,CA,33.742819,-117.768492,6059,SingleFamily,2000,4746,2441,2.5,4,08/02/2000,401000,1020663
25521253,46 Linhaven,92602,Irvine,CA,33.742614,-117.770139,6059,SingleFamily,1999,3611,2156,2.5,4,08/09/2011,615000,927106
25521155,80 Linhaven,92602,Irvine,CA,33.742412,-117.771603,6059,SingleFamily,1999,3465,2478,3.0,4,02/26/2013,775500,966720
25521146,5 Carriage Dr,92602,Irvine,CA,33.742012,-117.77145,6059,SingleFamily,1998,3916,2500,2.5,4,09/18/2017,925000,971514
25521150,21 Robins Tree Ln,92602,Irvine,CA,33.742014,-117.770985,6059,SingleFamily,1999,3920,1900,2.5,3,10/04/2011,625000,865748
25521214,22 Robins Tree Ln,92602,Irvine,CA,33.741819,-117.770691,6059,SingleFamily,1999,3609,1900,3.0,4,04/29/2011,650000,862305
25521216,21 Brookhollow,92602,Irvine,CA,33.741595,-117.770628,6059,SingleFamily,1999,3049,2015,2.5,4,08/31/1999,319000,899018
25521130,39 Carriage Dr,92602,Irvine,CA,33.741398,-117.773156,6059,SingleFamily,1998,6654,2480,2.5,3,04/09/1999,332500,1024449
25521210,14 Robins Tree Ln,92602,Irvine,CA,33.74143,-117.771083,6059,SingleFamily,1999,2992,1876,2.5,4,06/17/2008,585000,833891
,,,,,,,,,,,,,,,,
25521125,49 Carriage Dr,92602,Irvine,CA,33.740973,-117.772448,6059,SingleFamily,1998,3555,2121,2.5,4,04/07/1999,300000,937879
,,,,,,,,,,,,,,,,
25521235,10 Brookhollow,92602,Irvine,CA,33.740826,-117.770914,6059,SingleFamily,1999,2992,1651,2.5,3,08/20/1999,285500,814316
,,,,,,,,,,,,,,,,
25521120,12 Ivy Ln,92602,Irvine,CA,33.740421,-117.77227,6059,SingleFamily,1999,4785,3105,3.0,4,10/07/2014,985000,1230938
25521109,34 Elizabeth Ln,92602,Irvine,CA,33.740412,-117.773292,6059,SingleFamily,1998,5833,3105,4.0,4,02/22/2002,565000,1418410
25521092,33 Elizabeth Ln,92602,Irvine,CA,33.740234,-117.773714,6059,SingleFamily,1999,5448,3105,4.0,5,03/24/1999,384000,1362717
25520429,21 Tradition Pl,92602,Irvine,CA,33.73933,-117.773507,6059,SingleFamily,1998,5788,2545,3.0,4,04/29/1999,354000,991126
51631980,32 Amberhill,92602,Irvine,CA,33.745683,-117.766912,6059,SingleFamily,2000,4967,3176,2.5,4,03/14/2005,935000,1252020
54979349,15 Bradford,92602,Irvine,CA,33.745159,-117.769154,6059,Condominium,2000,,1277,2.0,2,10/11/2006,499000,609718
51675081,27 Bradford,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,2000,,1300,2.0,2,07/01/2013,479000,592748
,,,,,,,,,,,,,,,,
54979304,34 Ardmore,92602,Irvine,CA,33.744313,-117.769952,6059,Condominium,2000,,1300,2.0,2,09/25/2017,589900,618935
51631893,37 Langford,92602,Irvine,CA,33.743671,-117.768697,6059,SingleFamily,2000,5856,2698,3.0,4,11/19/2012,780000,1107536
54979333,22 Ardmore,92602,Irvine,CA,33.744046,-117.769884,6059,Condominium,2000,,1640,2.5,3,09/04/2014,613000,733544
25521163,64 Linhaven,92602,Irvine,CA,33.743253,-117.771296,6059,SingleFamily,1999,5066,2121,3.0,4,09/29/1999,363500,968232
,,,,,,,,,,,,,,,,
25521140,19 Carriage Dr,92602,Irvine,CA,33.742466,-117.77218,6059,SingleFamily,1999,6734,2478,3.0,4,05/07/1999,352500,992260
25521203,83 Linhaven,92602,Irvine,CA,33.742504,-117.771067,6059,SingleFamily,1999,4181,2481,2.5,4,08/04/2000,402000,984013
25521142,15 Carriage Dr,92602,Irvine,CA,33.742329,-117.771904,6059,SingleFamily,1998,3901,2246,2.5,3,05/10/1999,322500,963056
25521134,31 Carriage Dr,92602,Irvine,CA,33.741852,-117.772811,6059,SingleFamily,1998,3600,2480,2.5,3,04/15/1999,311000,971097
,,,,,,,,,,,,,,,,
25521213,20 Robins Tree Ln,92602,Irvine,CA,33.741716,-117.770797,6059,SingleFamily,1999,4050,2077,2.5,4,12/07/2014,2890,960445
25521184,2 Carriage Dr,92602,Irvine,CA,33.741662,-117.771601,6059,SingleFamily,1998,3486,2480,2.5,3,06/08/1999,350500,980020
25521172,20 Hidden Brk,92602,Irvine,CA,33.741494,-117.772463,6059,SingleFamily,1998,4093,2246,2.5,3,,,965944
25521220,11 Brookhollow,92602,Irvine,CA,33.741215,-117.771008,6059,SingleFamily,1999,3149,2015,2.5,4,01/22/2016,822500,919454
,,,,,,,,,,,,,,,,
25521098,21 Elizabeth Ln,92602,Irvine,CA,33.741031,-117.773614,6059,SingleFamily,1999,5425,2871,2.5,5,06/02/2009,695000,1209769
25521104,7 Elizabeth Ln,92602,Irvine,CA,33.740872,-117.772761,6059,SingleFamily,1999,5000,3105,4.0,4,05/05/1999,410500,1392842
25521121,14 Ivy Ln,92602,Irvine,CA,33.740538,-117.772155,6059,SingleFamily,1999,4785,2569,2.5,3,02/01/2000,812500,996948
25521430,85 Briar Ln,92602,Irvine,CA,33.74035,-117.771376,6059,SingleFamily,1999,4250,2569,2.5,3,09/10/1999,394500,990744
25521315,15 Windarbor Ln,92602,Irvine,CA,33.740384,-117.76928,6059,SingleFamily,1999,4094,1876,2.5,4,05/13/2008,630000,868364
25521332,9 Winterfield Rd,92602,Irvine,CA,33.739187,-117.771009,6059,SingleFamily,1999,3484,1900,2.5,4,08/21/2009,640000,861371
,,,,,,,,,,,,,,,,
51631976,31 Amberhill,92602,Irvine,CA,33.745248,-117.766976,6059,SingleFamily,2001,5662,3200,3.0,4,07/28/2011,783000,1224816
54979352,21 Bradford,92602,Irvine,CA,33.745087,-117.769049,6059,Condominium,2000,,1640,3.25,3,07/11/2016,648000,752204
51675063,51 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,1999,,1277,2.0,2,02/11/2000,208500,583148
54979279,27 Ardmore,92602,Irvine,CA,33.744846,-117.769337,6059,Condominium,1999,,1277,2.0,2,08/16/2018,625500,630543
54979291,1 Ardmore,92602,Irvine,CA,33.744436,-117.769375,6059,Townhouse,1999,,1300,2.0,2,04/22/2014,488000,591418
,,,,,,,,,,,,,,,,
51631898,27 Langford,92602,Irvine,CA,33.743064,-117.769244,6059,SingleFamily,1999,5554,2267,2.5,4,02/08/2000,385000,958658
,,,,,,,,,,,,,,,,
51631920,2 Appleton,92602,Irvine,CA,33.742578,-117.76731,6059,SingleFamily,1999,5715,2267,2.5,4,02/14/2002,455000,1017905
,,,,,,,,,,,,,,,,
25521137,25 Carriage Dr,92602,Irvine,CA,33.742137,-117.772527,6059,SingleFamily,1998,3600,2246,2.5,3,05/06/1999,312500,943972
25521151,88 Linhaven,92602,Irvine,CA,33.742094,-117.771146,6059,SingleFamily,1999,3619,2121,2.5,4,08/18/1999,354000,956926
,,,,,,,,,,,,,,,,
25521244,28 Brookhollow,92602,Irvine,CA,33.741693,-117.770048,6059,SingleFamily,1999,3033,1700,2.5,3,08/27/1999,293000,813475
,,,,,,,,,,,,,,,,
25521129,41 Carriage Dr,92602,Irvine,CA,33.741292,-117.772916,6059,SingleFamily,1998,4102,2480,2.5,3,10/15/1999,395000,1001811
25521275,5 Hollyhock Dr,92602,Irvine,CA,33.741139,-117.769053,6059,SingleFamily,1999,43560,1700,2.5,3,05/10/2012,610000,806194
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25521095,27 Elizabeth Ln,92602,Irvine,CA,33.740666,-117.773963,6059,SingleFamily,1998,7527,3105,4.0,5,08/22/2018,1180000,1189766
25521314,17 Windarbor Ln,92602,Irvine,CA,33.740445,-117.769424,6059,SingleFamily,1998,4262,1900,3.0,3,06/07/2006,828000,903752
,,,,,,,,,,,,,,,,
25521413,94 Briar Ln,92602,Irvine,CA,33.74,-117.771759,6059,SingleFamily,1999,4400,3105,3.0,4,06/24/1999,413000,1226786
25521325,12 Windarbor Ln,92602,Irvine,CA,33.739985,-117.76933,6059,SingleFamily,1999,3371,1876,2.5,4,04/30/2018,926000,940825
25521407,5 Cameo Ct,92602,Irvine,CA,33.739367,-117.770032,6059,SingleFamily,1998,3220,1876,2.5,4,08/27/2001,390000,856389
25520464,11 National Pl,92602,Irvine,CA,33.739114,-117.774464,6059,SingleFamily,1998,5125,2844,3.0,3,04/23/1999,392500,1219092
51631858,37 Millgrove,92602,Irvine,CA,33.745442,-117.767744,6059,SingleFamily,2000,4552,2951,3.0,4,07/19/2019,1225000,1229860
,,,,,,,,,,,,,,,,
51631991,10 Amberhill,92602,Irvine,CA,33.744411,-117.76669,6059,SingleFamily,2000,7213,3176,2.5,4,01/24/2001,511000,1302763
54979313,33 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,SingleFamily,1999,,1640,2.5,3,03/04/2003,398000,738847
,,,,,,,,,,,,,,,,
